tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-0339,Brisbane,Hard,32,A,20241230,365,111442,8,,Jordan Thompson,R,183,AUS,30.6,210506,,,Alex Michelsen,R,193,USA,20.3,7-5 6-3,3,R16,102,3,1,60,37,28,15,10,6,7,4,2,65,46,29,9,11,3,7,26,1745,41,1245
2025-0339,Brisbane,Hard,32,A,20241230,364,105777,2,,Grigor Dimitrov,R,191,BUL,33.6,126846,,WC,Aleksandar Vukic,R,188,AUS,28.7,6-2 7-6(5),3,R16,83,12,1,53,33,31,13,10,0,0,5,4,74,44,31,15,10,8,10,10,3350,68,778
2025-0339,Brisbane,Hard,32,A,20241230,363,104925,1,,Novak Djokovic,R,188,SRB,37.6,208014,,WC,Rinky Hijikata,R,178,AUS,23.8,6-3 6-3,3,R32,74,12,0,47,31,25,12,9,0,0,7,1,54,37,22,8,9,2,5,7,3910,73,746
2025-0339,Brisbane,Hard,32,A,20241230,362,104792,,,Gael Monfils,R,193,FRA,38.3,210460,,Q,Nishesh Basavareddy,R,180,USA,19.6,6-4 4-6 6-1,3,R32,109,18,0,77,52,40,13,14,4,7,4,1,74,49,34,9,13,2,7,55,1005,138,440
2025-0339,Brisbane,Hard,32,A,20241230,361,124187,,PR,Reilly Opelka,R,211,USA,27.3,144870,,Q,Federico Agustin Gomez,R,191,ARG,28.0,7-5 6-4,3,R32,75,9,1,49,29,27,17,11,0,0,7,2,62,41,31,11,11,3,5,293,176,137,442
2025-0339,Brisbane,Hard,32,A,20241230,360,208286,,,Matteo Arnaldi,R,185,ITA,23.8,200615,7,,Alexei Popyrin,R,196,AUS,25.4,6-3 6-2,3,R32,69,7,3,54,24,17,21,9,2,2,5,2,41,29,19,5,8,0,3,37,1345,24,1865
2025-0339,Brisbane,Hard,32,A,20241230,359,126207,4,,Frances Tiafoe,R,188,USA,26.9,200443,,WC,Adam Walton,R,183,AUS,25.7,7-6(5) 6-3,3,R32,90,13,1,66,46,37,11,11,3,4,13,4,66,38,30,11,10,2,4,18,2585,93,636
2025-0339,Brisbane,Hard,32,A,20241230,358,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.4,106401,,PR,Nick Kyrgios,R,193,AUS,29.6,7-6(2) 6-7(4) 7-6(3),3,R32,147,36,7,111,73,65,24,18,2,2,15,0,107,81,67,18,18,2,2,31,1561,,
2025-0339,Brisbane,Hard,32,A,20241230,357,210150,,,Jakub Mensik,R,193,CZE,19.3,105062,,Q,Mikhail Kukushkin,R,183,KAZ,37.0,7-6(3) 6-4,3,R32,94,13,2,68,42,33,15,11,1,2,2,3,76,47,30,17,11,2,4,48,1136,113,542
2025-0339,Brisbane,Hard,32,A,20241230,356,105583,,LL,Dusan Lajovic,R,183,SRB,34.5,209070,,,Arthur Cazaux,R,183,FRA,22.3,6-4 6-4,3,R32,101,1,1,61,41,27,15,10,8,9,8,6,81,46,33,13,10,7,10,81,710,63,807
2025-0339,Brisbane,Hard,32,A,20241230,355,126127,,Q,Benjamin Bonzi,R,183,FRA,28.5,126214,6,,Alejandro Tabilo,L,188,CHI,27.5,6-7(8) 7-6(5) 6-4,3,R32,168,15,2,110,72,57,23,17,3,4,18,7,125,84,66,16,17,5,7,75,730,23,1943
2025-0339,Brisbane,Hard,32,A,20241230,354,111797,,,Nicolas Jarry,R,201,CHI,29.2,208363,,,Mariano Navone,R,178,ARG,23.8,7-5 7-6(7),3,R32,108,7,1,75,47,39,17,12,3,4,10,1,77,49,37,15,12,1,3,35,1370,47,1148
2025-0339,Brisbane,Hard,32,A,20241230,353,106415,,Q,Yoshihito Nishioka,L,170,JPN,29.2,126239,,,Arthur Rinderknech,R,196,FRA,29.4,6-3 6-4,3,R32,74,1,0,50,31,28,13,10,0,0,6,1,51,31,23,11,9,1,3,69,776,59,927
2025-0339,Brisbane,Hard,32,A,20241230,352,208103,,,Jiri Lehecka,R,185,CZE,23.1,208029,3,,Holger Rune,R,188,DEN,21.6,7-5 6-3,3,R32,84,5,1,68,43,29,14,10,7,9,1,2,62,40,21,11,11,1,6,28,1660,13,3025
2025-0339,Brisbane,Hard,32,A,20241230,351,111442,8,,Jordan Thompson,R,183,AUS,30.6,126610,,,Matteo Berrettini,R,196,ITA,28.7,3-6 6-3 6-4,3,R32,134,6,4,93,56,41,16,14,2,4,8,1,76,49,41,13,14,2,5,26,1745,34,1380
2025-0339,Brisbane,Hard,32,A,20241230,350,210506,,,Alex Michelsen,R,193,USA,20.3,106331,,,Christopher Oconnell,R,183,AUS,30.5,6-4 4-6 7-6(10),3,R32,144,7,2,92,49,38,25,16,3,6,13,3,101,56,47,21,16,2,5,41,1245,64,795
2025-0339,Brisbane,Hard,32,A,20241230,349,126846,,WC,Aleksandar Vukic,R,188,AUS,28.7,105676,,,David Goffin,R,180,BEL,34.0,6-2 6-3,3,R32,82,11,1,57,31,25,15,9,3,3,3,2,61,35,18,15,8,2,5,68,778,52,1037
2025-0339,Brisbane,Hard,32,A,20241230,348,105777,2,,Grigor Dimitrov,R,191,BUL,33.6,105870,,Q,Yannick Hanfmann,R,193,GER,33.1,7-6(5) 6-3,3,R32,107,9,3,63,38,33,10,10,2,3,4,3,95,64,40,14,11,7,10,10,3350,96,627
2025-0336,Hong Kong,Hard,28,A,20241230,386,124186,,,Alexandre Muller,R,183,FRA,27.9,105453,,W,Kei Nishikori,R,178,JPN,35.0,2-6 6-1 6-3,3,F,103,2,1,77,60,44,7,12,4,6,4,1,75,48,28,14,12,4,8,67,778,106,578
2025-0336,Hong Kong,Hard,28,A,20241230,385,105453,,WC,Kei Nishikori,R,178,JPN,35.0,209992,,,Juncheng Shang,L,180,CHN,19.9,4-3 RET,3,SF,20,3,0,22,13,10,7,4,0,0,3,0,15,12,9,3,3,0,0,106,578,50,1115
2025-0336,Hong Kong,Hard,28,A,20241230,384,124186,,,Alexandre Muller,R,183,FRA,27.9,144719,,,Jaume Munar,R,183,ESP,27.6,4-6 7-6(5) 6-4,3,SF,145,4,3,94,62,47,20,16,2,4,6,2,99,73,54,16,16,2,4,67,778,62,832
2025-0336,Hong Kong,Hard,28,A,20241230,383,209992,,,Juncheng Shang,L,180,CHN,19.9,206681,,,Fabian Marozsan,R,193,HUN,25.2,1-6 6-3 6-4,3,QF,104,9,4,77,57,44,6,13,4,6,6,2,81,55,43,11,13,6,8,50,1115,58,935
2025-0336,Hong Kong,Hard,28,A,20241230,382,105453,,WC,Kei Nishikori,R,178,JPN,35.0,111815,,,Cameron Norrie,L,188,GBR,29.3,6-3 3-6 6-2,3,QF,101,4,1,75,55,43,9,13,1,2,8,3,79,55,38,11,13,2,5,106,578,49,1119
2025-0336,Hong Kong,Hard,28,A,20241230,381,124186,,,Alexandre Muller,R,183,FRA,27.9,209950,4,,Arthur Fils,R,185,FRA,20.5,3-6 6-3 6-1,3,QF,111,3,1,89,57,41,14,12,11,13,3,9,69,31,21,19,13,3,8,67,778,20,2355
2025-0336,Hong Kong,Hard,28,A,20241230,380,144719,,,Jaume Munar,R,183,ESP,27.6,207518,2,,Lorenzo Musetti,R,185,ITA,22.8,2-6 7-6(4) 7-5,3,QF,156,2,4,102,69,47,17,16,7,11,9,4,102,69,54,11,16,4,7,62,832,17,2600
2025-0336,Hong Kong,Hard,28,A,20241230,379,206681,,,Fabian Marozsan,R,193,HUN,25.2,126094,1,,Andrey Rublev,R,188,RUS,27.1,7-5 3-6 6-3,3,R16,118,5,2,103,67,45,15,15,10,13,10,3,85,53,39,15,15,5,9,58,935,8,3760
2025-0336,Hong Kong,Hard,28,A,20241230,378,209992,,,Juncheng Shang,L,180,CHN,19.9,124079,7,,Pedro Martinez,R,185,ESP,27.6,6-3 6-1,3,R16,77,9,2,54,40,32,5,8,6,6,5,6,49,33,23,2,8,3,7,50,1115,43,1205
2025-0336,Hong Kong,Hard,28,A,20241230,377,105453,,WC,Kei Nishikori,R,178,JPN,35.0,111575,3,,Karen Khachanov,R,198,RUS,28.6,4-6 6-3 7-5,3,R16,129,1,1,90,62,43,17,16,5,8,7,5,90,59,41,14,15,3,7,106,578,19,2410
2025-0336,Hong Kong,Hard,28,A,20241230,376,111815,,,Cameron Norrie,L,188,GBR,29.3,132283,,,Lorenzo Sonego,R,191,ITA,29.6,6-2 4-6 6-1,3,R16,144,4,1,70,52,37,13,12,2,3,7,0,75,52,38,7,13,4,9,49,1119,53,1026
2025-0336,Hong Kong,Hard,28,A,20241230,375,124186,,,Alexandre Muller,R,183,FRA,27.9,200175,,,Miomir Kecmanovic,R,183,SRB,25.3,5-7 7-6(6) 7-6(10),3,R16,210,9,2,122,86,61,16,18,5,10,4,5,139,83,57,26,18,5,9,67,778,54,1021
2025-0336,Hong Kong,Hard,28,A,20241230,374,209950,4,,Arthur Fils,R,185,FRA,20.5,200267,,WC,Zizou Bergs,R,185,BEL,25.5,7-6(7) 6-4,3,R16,100,6,2,67,39,32,15,11,0,2,5,2,71,46,34,11,11,2,5,20,2355,71,768
2025-0336,Hong Kong,Hard,28,A,20241230,373,144719,,,Jaume Munar,R,183,ESP,27.6,132686,5,,Nuno Borges,R,185,POR,27.8,6-3 7-5,3,R16,83,5,0,57,35,30,11,11,0,1,2,4,59,36,26,10,10,1,4,62,832,36,1355
2025-0336,Hong Kong,Hard,28,A,20241230,372,207518,2,,Lorenzo Musetti,R,185,ITA,22.8,209113,,Q,Gabriel Diallo,R,203,CAN,23.2,6-4 6-3,3,R16,86,6,3,49,37,30,7,9,2,2,6,2,70,49,32,9,10,7,10,17,2600,87,643
2025-0336,Hong Kong,Hard,28,A,20241230,371,206681,,,Fabian Marozsan,R,193,HUN,25.2,126128,,,Roman Safiullin,R,185,RUS,27.3,6-1 7-6(9),3,R32,93,6,3,70,41,30,14,10,1,5,4,3,72,47,29,8,9,10,16,58,935,60,923
2025-0336,Hong Kong,Hard,28,A,20241230,370,209992,,,Juncheng Shang,L,180,CHN,19.9,209409,,WC,Coleman Wong,R,191,HKG,20.5,7-6(3) 6-4,3,R32,89,4,1,59,33,29,20,11,0,0,17,1,76,52,41,9,11,6,7,50,1115,170,340
2025-0336,Hong Kong,Hard,28,A,20241230,369,124079,7,,Pedro Martinez,R,185,ESP,27.6,208859,,Q,Francesco Passaro,R,180,ITA,23.9,6-4 6-4,3,R32,89,3,1,63,45,35,10,10,3,3,5,2,55,38,30,8,10,4,6,43,1205,108,570
2025-0336,Hong Kong,Hard,28,A,20241230,368,105453,,WC,Kei Nishikori,R,178,JPN,35.0,133430,,,Denis Shapovalov,L,185,CAN,25.7,6-2 6-3,3,R32,58,4,0,50,35,29,9,9,2,2,7,5,52,27,18,12,8,4,7,106,578,56,981
2025-0336,Hong Kong,Hard,28,A,20241230,367,111815,,,Cameron Norrie,L,188,GBR,29.3,210530,,,Learner Tien,L,180,USA,19.0,6-3 7-5,3,R32,98,11,1,78,60,38,8,11,5,7,6,5,69,42,27,11,10,5,9,49,1119,122,493
2025-0336,Hong Kong,Hard,28,A,20241230,366,132283,,,Lorenzo Sonego,R,191,ITA,29.6,206909,6,,Brandon Nakashima,R,188,USA,23.4,7-6(4) 6-3,3,R32,90,5,1,61,38,34,17,11,0,0,6,0,56,39,33,10,10,1,2,53,1026,38,1335
2025-0336,Hong Kong,Hard,28,A,20241230,365,200175,,,Miomir Kecmanovic,R,183,SRB,25.3,209260,8,,Luciano Darderi,R,183,ITA,22.8,6-3 6-3,3,R32,67,9,1,57,39,32,8,9,2,2,9,1,53,35,22,10,9,6,9,54,1021,44,1198
2025-0336,Hong Kong,Hard,28,A,20241230,364,124186,,,Alexandre Muller,R,183,FRA,27.9,144817,,Q,Marc Andrea Huesler,L,196,SUI,28.5,2-6 6-4 6-3,3,R32,125,9,2,93,73,48,10,14,6,9,8,3,81,40,34,15,13,5,8,67,778,159,376
2025-0336,Hong Kong,Hard,28,A,20241230,363,200267,,WC,Zizou Bergs,R,185,BEL,25.5,208279,,Q,Alejandro Moro Canas,R,183,ESP,24.0,6-4 6-4,3,R32,91,11,1,54,38,31,11,10,1,2,2,3,78,48,31,12,10,6,9,71,768,169,345
2025-0336,Hong Kong,Hard,28,A,20241230,362,132686,5,,Nuno Borges,R,185,POR,27.8,207352,,,Bu Yunchaokete,R,185,CHN,22.9,3-6 6-3 7-6(6),3,R32,134,9,4,81,55,46,14,15,2,4,17,1,107,65,51,20,15,9,11,36,1355,65,784
2025-0336,Hong Kong,Hard,28,A,20241230,361,144719,,,Jaume Munar,R,183,ESP,27.6,200221,,,Alejandro Davidovich Fokina,R,183,ESP,25.5,4-6 6-3 6-3,3,R32,117,6,4,78,49,36,19,14,2,4,2,4,76,39,25,21,14,2,6,62,832,61,845
2025-0336,Hong Kong,Hard,28,A,20241230,360,209113,,Q,Gabriel Diallo,R,203,CAN,23.2,106148,,,Roberto Carballes Baena,R,183,ESP,31.7,4-6 7-6(4) 7-5,3,R32,169,9,2,117,85,57,19,17,10,13,9,6,104,65,52,16,17,5,8,87,643,57,981
2025-8998,Adelaide,Hard,28,A,20250106,377,200000,5,,Felix Auger Aliassime,R,193,CAN,24.4,200624,2,,Sebastian Korda,R,196,USA,24.5,6-3 3-6 6-1,3,F,109,10,4,72,41,34,20,13,4,5,7,4,81,50,35,11,12,7,10,29,1680,22,1985
2025-8998,Adelaide,Hard,28,A,20250106,376,200000,5,,Felix Auger Aliassime,R,193,CAN,24.4,126205,1,,Tommy Paul,R,185,USA,27.6,7-6(3) 3-6 6-4,3,SF,164,8,4,110,70,52,14,16,8,12,7,3,94,52,36,25,15,5,8,29,1680,12,3145
2025-8998,Adelaide,Hard,28,A,20250106,375,200624,2,,Sebastian Korda,R,196,USA,24.5,200175,,,Miomir Kecmanovic,R,183,SRB,25.3,6-3 7-6(4),3,SF,79,13,3,68,44,37,14,11,0,0,2,2,61,46,34,9,10,0,1,22,1985,55,1021
2025-8998,Adelaide,Hard,28,A,20250106,374,126205,1,,Tommy Paul,R,185,USA,27.6,208014,,LL,Rinky Hijikata,R,178,AUS,23.8,6-3 6-4,3,QF,78,8,0,65,42,32,13,10,4,4,4,2,52,36,23,9,9,5,7,12,3145,79,712
2025-8998,Adelaide,Hard,28,A,20250106,373,200000,5,,Felix Auger Aliassime,R,193,CAN,24.4,106218,,,Marcos Giron,R,180,USA,31.4,7-6(3) 6-3,3,QF,100,11,3,76,54,43,10,10,9,9,2,1,72,37,24,20,11,6,8,29,1680,45,1150
2025-8998,Adelaide,Hard,28,A,20250106,372,200175,,,Miomir Kecmanovic,R,183,SRB,25.3,126127,,Q,Benjamin Bonzi,R,183,FRA,28.5,6-2 6-3,3,QF,64,12,0,48,33,29,8,9,1,1,2,1,54,31,19,12,8,2,5,55,1021,70,762
2025-8998,Adelaide,Hard,28,A,20250106,371,200624,2,,Sebastian Korda,R,196,USA,24.5,106423,,WC,Thanasi Kokkinakis,R,193,AUS,28.7,W/O,3,QF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1985,77,716
2025-8998,Adelaide,Hard,28,A,20250106,370,126205,1,,Tommy Paul,R,185,USA,27.6,131905,,LL,Manuel Guinard,R,198,FRA,29.1,6-4 3-6 6-3,3,R16,111,9,4,93,60,43,18,14,10,11,8,3,84,58,43,14,14,0,2,12,3145,261,209
2025-8998,Adelaide,Hard,28,A,20250106,369,208014,,LL,Rinky Hijikata,R,178,AUS,23.8,206909,7,,Brandon Nakashima,R,188,USA,23.4,6-2 3-6 7-6(5),3,R16,121,6,5,86,49,38,24,14,3,4,17,2,84,62,48,12,15,3,5,79,712,37,1335
2025-8998,Adelaide,Hard,28,A,20250106,368,200000,5,,Felix Auger Aliassime,R,193,CAN,24.4,209070,,,Arthur Cazaux,R,183,FRA,22.3,1-6 6-4 7-5,3,R16,153,12,5,83,54,39,14,14,4,6,8,3,100,54,38,24,15,7,9,29,1680,80,707
2025-8998,Adelaide,Hard,28,A,20250106,367,106218,,,Marcos Giron,R,180,USA,31.4,133430,,,Denis Shapovalov,L,185,CAN,25.7,7-5 6-2,3,R16,78,2,0,50,26,19,16,10,1,3,9,13,63,31,24,7,10,8,13,45,1150,58,981
